SKU,URL,Product_Name,Variation_name
1667724014, https://shopee.co.id/Enfamil Pregestimil Susu Formula Hipoalergenik Alergi Susu Sapi 800g-i.59345325.1667724014, Enfamil Pregestimil Susu Formula Hipoalergenik Alergi Susu Sapi 800g, 
1495983151, https://shopee.co.id/Entrasol Gold Vanila Pro Fit Formula Susu Kemasan Baru New 370G  Makanan & Susu Bayi  Susu Bayi-i.78541389.1495983151, Entrasol Gold Vanila Pro Fit Formula Susu Kemasan Baru New 370G  Makanan & Susu Bayi  Susu Bayi, 
1495844828, https://shopee.co.id/Susu Bayi  Morinaga Chil Mil Soya Susu Formula Lanjutan Tin 600G / 600 G  Makanan & Susu Bayi-i.78541389.1495844828, Susu Bayi  Morinaga Chil Mil Soya Susu Formula Lanjutan Tin 600G / 600 G  Makanan & Susu Bayi, 
1476744664, https://shopee.co.id/New Vidoran Susu Xmart 1+ Nutriplex Vanilla Susu Formula 750 G  Vanila Readystock-i.88047881.1476744664, New Vidoran Susu Xmart 1+ Nutriplex Vanilla Susu Formula 750 G  Vanila Readystock, 
1690465918, https://shopee.co.id/Eklusif Nestle Danstart Excelnutri 612 Bulan Susu Formula Dancow 800Gr Limited-i.95096890.1690465918, Eklusif Nestle Danstart Excelnutri 612 Bulan Susu Formula Dancow 800Gr Limited, 
994635619, https://shopee.co.id/Morinaga Chil Mil PHp Susu Formula Lanjutan Tin 800gr / Morinaga Chil Mil 2 Php 800 gram-i.55555459.994635619, Morinaga Chil Mil PHp Susu Formula Lanjutan Tin 800gr / Morinaga Chil Mil 2 Php 800 gram, 
1267562039, https://shopee.co.id/Susu formula enfamil A+ tahap 4 kemasan 800 gram vanila usia 312 tahun-i.11325345.1267562039, Susu formula enfamil A+ tahap 4 kemasan 800 gram vanila usia 312 tahun, 
1267553155, https://shopee.co.id/Susu formula enfagrow A+ vanila tahap 3 usia 13 tahun kemasan 800 gram-i.11325345.1267553155, Susu formula enfagrow A+ vanila tahap 3 usia 13 tahun kemasan 800 gram, 
1606368416, https://shopee.co.id/Frisolac Gold 1 Susu Formula Bayi 06 Bulan Plain 400g-i.98267254.1606368416, Frisolac Gold 1 Susu Formula Bayi 06 Bulan Plain 400g, 
382128285, https://shopee.co.id/Nutricia Neocate Advance 1000 gr (10x100gr) Susu Formula    Vallenca Mart-i.14222698.382128285, Nutricia Neocate Advance 1000 gr (10x100gr) Susu Formula    Vallenca Mart, 
1570309299, https://shopee.co.id/NEOCATE LCP Susu Formula Bayi Hipoalergenik 0  12 bulan 400g / 400 g Kesukaan Si Kecil-i.95855747.1570309299, NEOCATE LCP Susu Formula Bayi Hipoalergenik 0  12 bulan 400g / 400 g Kesukaan Si Kecil, 
1225344442_1431107832, https://shopee.co.id/Vidoran Xmart 1+ Nutriplex Susu Formula [725 g] Exp 2020-i.53899123.1225344442, Vidoran Xmart 1+ Nutriplex Susu Formula [725 g] Exp 2020 Vanilla, Vanilla
1225344442_1431107833, https://shopee.co.id/Vidoran Xmart 1+ Nutriplex Susu Formula [725 g] Exp 2020-i.53899123.1225344442, Vidoran Xmart 1+ Nutriplex Susu Formula [725 g] Exp 2020 Madu, Madu
1681508324, https://shopee.co.id/STOK TERAKHIR ENTRASOL GOLD VANILA PROFIT FORMULA SUSU KEMASAN BARU NEW 370G PROMO-i.95488989.1681508324, STOK TERAKHIR ENTRASOL GOLD VANILA PROFIT FORMULA SUSU KEMASAN BARU NEW 370G PROMO, 
1707016601, https://shopee.co.id/S26 Tahap 3 Procal Box Susu Formula 1400 g-i.100830181.1707016601, S26 Tahap 3 Procal Box Susu Formula 1400 g, 
1669995832, https://shopee.co.id/Terlariss Nan Ph Pro 1/ Nan Ph Pro 1 400Gr/ Susu Formula Bayi 06 Bulan-i.98599569.1669995832, Terlariss Nan Ph Pro 1/ Nan Ph Pro 1 400Gr/ Susu Formula Bayi 06 Bulan, 
1661054258, https://shopee.co.id/Sale Nan Ph Pro 1/ Nan Ph Pro 1 400Gr/ Susu Formula Bayi 06 Bulan-i.85879917.1661054258, Sale Nan Ph Pro 1/ Nan Ph Pro 1 400Gr/ Susu Formula Bayi 06 Bulan, 
